mobility_pair,origin,region_origin,income_origin,destination,region_destination,income_destination,r_origin,r_mobi_origin,r_coll_origin,r_mobi,r_coll,r_coll_mobi,MRot_c,r_no_coll,r_no_coll_mobi,MRot_nc,CMR_ot,MRot_all,prop_mobi,prop_coll
NL-BE,NL,Europe & Central Asia,High,BE,Europe & Central Asia,High,171619,36327,103040,2751,22515,1060,0.047079725,149104,1691,0.011341077,4.151256807,0.016029694,0.075728797,0.218507376
EG-SA,EG,Middle East & North Africa,Lower middle,SA,Middle East & North Africa,High,68973,8576,26320,2742,9617,761,0.079130706,59356,1981,0.03337489,2.370965264,0.039754687,0.319729478,0.365387538
DE-CN,DE,Europe & Central Asia,High,CN,East Asia & Pacific,Upper middle,617925,99584,325627,2738,29287,991,0.033837539,588638,1747,0.002967868,11.40129433,0.004430958,0.027494377,0.089940331
UK-IE,UK,Europe & Central Asia,High,IE,Europe & Central Asia,High,620073,107707,294247,2725,22488,680,0.030238349,597585,2045,0.003422107,8.836177991,0.004394644,0.02530012,0.076425588
GR-US,GR,Europe & Central Asia,High,US,North America,High,63976,12402,31436,2712,10979,1032,0.093997632,52997,1680,0.031699908,2.965233628,0.042390897,0.218674407,0.349249268
FR-ES,FR,Europe & Central Asia,High,ES,Europe & Central Asia,High,376508,76371,193058,2672,30703,889,0.028954825,345805,1783,0.005156085,5.61566088,0.007096795,0.034987102,0.159035109
CA-AU,CA,North America,High,AU,East Asia & Pacific,High,331986,58798,157507,2666,18620,725,0.038936627,313366,1941,0.006194035,6.286148967,0.008030459,0.045341678,0.118216968
UK-SE,UK,Europe & Central Asia,High,SE,Europe & Central Asia,High,620073,107707,294247,2657,31225,835,0.026741393,588848,1822,0.003094177,8.642489491,0.004284979,0.024668777,0.106118329
IN-KR,IN,South Asia,Lower middle,KR,East Asia & Pacific,High,437424,50061,117155,2648,10071,586,0.058186873,427353,2062,0.004825051,12.05932824,0.006053623,0.052895468,0.08596304
BR-FR,BR,Latin America & Caribbean,Upper middle,FR,Europe & Central Asia,High,406687,33809,138687,2643,17022,923,0.054223945,389665,1720,0.004414048,12.28440332,0.006498855,0.078174451,0.12273681
CA-CN,CA,North America,High,CN,East Asia & Pacific,Upper middle,331986,58798,157507,2640,19069,1180,0.061880539,312917,1460,0.004665774,13.2626525,0.007952143,0.044899486,0.121067635
US-AT,US,North America,High,AT,Europe & Central Asia,High,2615677,243148,926952,2623,31872,706,0.022151104,2583805,1917,0.000741929,29.85609512,0.0010028,0.010787668,0.034383657
IT-NL,IT,Europe & Central Asia,High,NL,Europe & Central Asia,High,315823,59697,171682,2620,24624,854,0.034681611,291199,1766,0.006064581,5.718714931,0.008295786,0.043888303,0.143427966
AU-CN,AU,East Asia & Pacific,High,CN,East Asia & Pacific,Upper middle,223090,37804,111340,2618,20129,1283,0.063738884,202961,1335,0.006577618,9.690267922,0.011735174,0.069251931,0.180788576
ES-IT,ES,Europe & Central Asia,High,IT,Europe & Central Asia,High,348691,47132,149667,2601,33757,1113,0.032970939,314934,1488,0.004724799,6.978272726,0.007459326,0.055185437,0.225547382
IE-UK,IE,Europe & Central Asia,High,UK,Europe & Central Asia,High,41190,8333,22561,2552,12110,1017,0.083980182,29080,1535,0.05278542,1.590973083,0.061956786,0.30625225,0.536766987
US-MX,US,North America,High,MX,Latin America & Caribbean,Upper middle,2615677,243148,926952,2550,26637,649,0.024364606,2589040,1901,0.000734249,33.18302922,0.000974891,0.01048744,0.028736116
BE-FR,BE,Europe & Central Asia,High,FR,Europe & Central Asia,High,83707,19098,54184,2538,17570,1093,0.06220831,66137,1445,0.021848587,2.847246348,0.030320045,0.132893497,0.324265466
US-SA,US,North America,High,SA,Middle East & North Africa,High,2615677,243148,926952,2503,17380,372,0.021403913,2598297,2131,0.000820153,26.09747618,0.000956922,0.010294142,0.018749622
JP-CA,JP,East Asia & Pacific,High,CA,North America,High,931361,62618,201783,2478,15882,639,0.040234227,915479,1839,0.002008784,20.029141,0.002660622,0.039573286,0.078708315
SG-CN,SG,East Asia & Pacific,High,CN,East Asia & Pacific,Upper middle,53681,10796,30058,2476,12004,1330,0.110796401,41677,1146,0.027497181,4.029373135,0.046124327,0.229344202,0.399361235
BE-NL,BE,Europe & Central Asia,High,NL,Europe & Central Asia,High,83707,19098,54184,2465,17164,1135,0.066126777,66543,1330,0.019987076,3.308476782,0.029447955,0.129071107,0.316772479
SE-UK,SE,Europe & Central Asia,High,UK,Europe & Central Asia,High,102575,21422,63065,2464,19156,1075,0.056118188,83419,1389,0.016650883,3.370282998,0.024021448,0.11502194,0.303750099
CA-DE,CA,North America,High,DE,Europe & Central Asia,High,331986,58798,157507,2435,20726,720,0.034738975,311260,1715,0.005509863,6.304870799,0.007334647,0.041412973,0.131587802
AU-CA,AU,East Asia & Pacific,High,CA,North America,High,223090,37804,111340,2404,17589,717,0.040764114,205501,1687,0.008209206,4.965658671,0.01077592,0.063591154,0.15797557
CH-FR,CH,Europe & Central Asia,High,FR,Europe & Central Asia,High,111420,26940,72388,2401,17559,917,0.052223931,93861,1484,0.015810614,3.303093237,0.021549094,0.089123979,0.242567829
DE-ES,DE,Europe & Central Asia,High,ES,Europe & Central Asia,High,617925,99584,325627,2343,37214,766,0.020583651,580711,1577,0.002715637,7.579678337,0.003791722,0.023527876,0.114284135
AR-US,AR,Latin America & Caribbean,Upper middle,US,North America,High,46807,7366,24052,2342,10233,947,0.092543731,36574,1395,0.038141849,2.426304244,0.050035251,0.317947326,0.425453185
